ModelNum m_N2 m_N1 m_C1 dM X0G X0qq X0ll X0nn X1qq X1ln X0ee X0mm X0tt X1en X1mn X1tn X0en X0mn X0tn 
101945079.slha -151.361857 111.613759 145.711144 39.748097999999985 0.00169091366 0.684237193 0.0999221341 0.21376809279999998 0.0002655496712 0.0001161167996 0.0323998729 0.0323998729 0.0351223883 4.4260337e-05 4.4260337e-05 2.75961256e-05 0.111279148 0.111279148 0.109852862 
102178405.slha 302.994731 -262.910367 302.519978 40.084363999999994 0.00155196198 0.6805207379999999 0.1053984756 0.2125288245 5.26435064e-10 3.509427512e-10 0.0351045626 0.0351045626 0.0351893504 1.754713756e-10 1.754713756e-10 0.0 0.111026195 0.111026195 0.110220368 
102851322.slha -464.177961 424.64072 461.87697 39.537240999999995 0.000955997859 0.680445741 0.1059122797 0.21268255390000002 2.561064032e-06 8.655723861799999e-07 0.0354458136 0.0354458136 0.0350206525 4.26844882e-07 4.26844882e-07 1.188262218e-08 0.111246027 0.111246027 0.110053641 
103671051.slha 228.686997 -188.223494 225.614291 40.463503 0.00164061686 0.680627926 0.10560232 0.2121134308 1.151647844e-05 4.189718489999999e-06 0.0353483171 0.0353483171 0.0349056858 1.919417876e-06 1.919417876e-06 3.50882738e-07 0.111255555 0.111255555 0.110028977 
104452521.slha 409.178932 -368.727317 409.909176 40.45161499999995 0.00113473819 0.6818160440000001 0.1054593408 0.21158987750000002 0.0 0.0 0.035282743 0.035282743 0.0348938548 0.0 0.0 0.0 0.111207168 0.111207168 0.110241592 
104470750.slha -247.273217 207.252071 246.292124 40.02114599999999 0.00165595962 0.6800735840000001 0.1057037746 0.2125666483 2.02392912e-08 1.3492845e-08 0.0353551656 0.0353551656 0.0349934434 6.7464225e-09 6.7464225e-09 0.0 0.111233722 0.111233722 0.110115356 
104822169.slha -306.633553 266.948554 303.17096 39.684999000000005 0.00141396313 0.6804393049999999 0.1057228056 0.2123927742 2.259506652e-05 8.557078576e-06 0.0353983999 0.0353983999 0.0349260058 3.76584522e-06 3.76584522e-06 1.025388136e-06 0.111259872 0.111259872 0.109942465 
104862951.slha -327.150066 287.552317 324.842325 39.597748999999965 0.00127561072 0.680483405 0.10572578399999999 0.21251180869999997 2.534549844e-06 8.570337794200001e-07 0.0354119833 0.0354119833 0.0349018174 4.22429518e-07 4.22429518e-07 1.217474342e-08 0.111234944 0.111234944 0.110222197 
105060646.slha 190.743768 -150.285921 186.899438 40.45784699999999 0.00184062025 0.678327374 0.10452376329999999 0.2152475252 4.35944388e-05 1.7122038280000002e-05 0.0351899569 0.0351899569 0.0341438495 7.26574712e-06 7.26574712e-06 2.59054404e-06 0.111178689 0.111178689 0.110645629 
105334094.slha -1155.14151 1115.32001 1155.02936 39.821500000000015 0.00876108288 0.832878439 0.060985326199999995 0.0973751319 0.0 2.072721964e-08 0.0168997825 0.0168997825 0.0271857612 1.036360982e-08 1.036360982e-08 0.0 0.0351211397 0.0351211397 0.0863390725 
