ModelNum m_N2 m_N1 m_C1 dM X0G X0qq X0ll X0nn X1qq X1ln 
1004484.slha 218.068184 -168.312547 172.223224 49.75563700000001 0.00221089914 0.2488379589 0.0382023166 0.0766065308 0.423152196 0.21099009820000003 
10242786.slha -216.82771 166.900806 171.263074 49.92690400000001 0.00236633561 0.2565066803 0.0395987676 0.0791186829 0.41517422 0.207235314 
10308440.slha 797.901318 -747.557665 749.255666 50.343652999999904 0.000255359022 0.2219996346 0.0341595624 0.068441326 0.450348668 0.2247851332 
10376767.slha -245.719763 195.82449 199.177634 49.895273 0.00193510703 0.2404748433 0.0369197982 0.0740393048 0.431440172 0.2151907742 
10426508.slha -330.459944 280.660748 285.945104 49.799195999999995 0.00161979752 0.2858743115 0.0439579182 0.0881606724 0.3872410128 0.1931462874 
10571982.slha 323.337593 -273.407975 276.103128 49.929618000000005 0.00107255167 0.2344816508 0.0359501143 0.0720756693 0.43795876 0.2184612536 
10681622.slha 219.23323 -169.055819 172.510954 50.17741099999998 0.00199069944 0.23945713459999998 0.0368233849 0.0737539711 0.432280552 0.21569425800000003 
11703033.slha -425.192084 374.786568 376.817305 50.405516000000034 0.000664297677 0.22400889179999997 0.034587964 0.06905532389999999 0.447848292 0.22383523079999998 
12231372.slha 614.991864 -564.736799 571.899706 50.255064999999945 0.000654742267 0.32503082240000003 0.0499378095 0.1003248466 0.3496975048 0.1743542746 
12464350.slha 529.871031 -479.695751 480.997509 50.17528000000004 0.000488266922 0.21237365939999997 0.0326082794 0.0654301036 0.459735636 0.22936405259999998 
12524327.slha -757.447842 707.781308 709.517647 49.66653400000007 0.000287004923 0.22247417619999998 0.0343506154 0.06875250320000001 0.449639168 0.2244965342 
12588899.slha 337.496445 -287.682476 290.564305 49.813968999999986 0.0012577134 0.2383864381 0.036624054 0.0735182315 0.433808788 0.21640477419999998 
13616521.slha 326.660878 -276.507245 279.082645 50.15363300000001 0.000978233261 0.234213308 0.0355999916 0.0712537021 0.438865124 0.21908963939999998 
