ModelNum m_N2 m_N1 m_C1 dM X0G X0qq X0ll X0nn X1qq X1ln 
10679324.slha 632.200366 -617.265521 617.447256 14.934844999999996 0.113025214 0.1785924849 0.025307470999999998 0.0510447869 0.453766928 0.17826311660000002 
11678079.slha 348.942304 -333.597672 333.769796 15.34463199999999 0.284503844 0.1397627149 0.020239315429999998 0.041783524700000005 0.3631891068 0.1505214936 
14615092.slha 269.962701 255.266356 255.42884 14.69634499999998 0.871090531 0.0005510987512000001 0.040042159974 0.003647574354 0.003299224672 0.08136941120800001 
14989447.slha -267.9966 253.084001 253.313438 14.912599 0.468346719 0.10380602528 0.014715820509999998 0.03158876954 0.2697098972 0.111832768 
15697999.slha 454.728689 -439.267331 439.432345 15.461357999999962 0.0241706732 0.15563114081 0.06726311772 3.243507008e-05 0.558368248 0.19453438439999998 
15820843.slha 422.268866 -407.003825 408.029322 15.265040999999997 0.225116195 0.1808045321 0.03073516805 0.0633352678 0.3364157824 0.1635930548 
17815859.slha 215.08036 199.980798 200.186667 15.09956200000002 0.0 0.0 0.0 0.0 0.0 0.0 
18855953.slha -543.794043 529.160731 529.326156 14.633311999999933 0.72272277 0.09484160262472 8.164821027e-05 4.2017901213e-05 0.1818602256 0.00045173564280000006 
19187223.slha 176.890948 -161.934113 162.092058 14.956835000000012 0.0913803632 0.1337241283 0.01590405306 0.01033251651 0.52425268 0.22440626000000002 
19812452.slha -587.924371 572.913666 573.077993 15.010704999999916 0.834724534 0.047693890860000004 0.004965158244 1.266800347e-05 0.1008846144 0.011719134412 
19837406.slha -493.175343 -477.916134 483.514214 15.259208999999998 0.675057415 6.616071501e-05 7.344389114e-05 1.22069034785e-05 0.2194128212 0.1053779518 
2295867.slha 677.880284 -663.123998 663.289093 14.756285999999932 0.700550834 0.01821218091 0.04596742097 0.03834181202 0.0494131932 0.1475145592 
2344187.slha 306.209862 -291.16432 291.328675 15.045542000000012 0.00637935283 0.009977712186 0.313920880284 0.0001240360956 0.02523227976 0.644365738096 
2790499.slha -618.98564 603.672485 603.837877 15.313154999999938 0.603147054 0.11696651590700001 0.009748633100000001 0.0058801457766 0.237058434 0.02719921708 
3131923.slha 455.932887 -441.082721 441.251026 14.850166000000002 0.687204673 0.050360662720000005 0.03669047218 0.01919119555 0.1297814592 0.07677153734 
3383192.slha -376.671238 362.107808 362.271465 14.56343000000004 0.00094316359 0.1819379011 0.00797756013 0.00835723442 0.663727504 0.137056637 
4239114.slha 212.431213 197.043552 197.21471 15.387661000000008 0.000259659313 0.0004569172723 4.760126752e-05 1.729937855e-05 0.671642712 0.3275758124 
4268069.slha 344.265258 -329.132718 329.297146 15.132540000000006 0.557351928 0.013726160797999999 0.072207944733 0.060131614560000005 0.0553950608 0.23842474452 
6007212.slha 463.89754 449.151795 449.316911 14.745745 0.761625796 0.0006770916745 0.00069253185 0.0003829570718 0.158174544 0.0784470798 
7566007.slha 815.592733 -800.930013 801.095555 14.662719999999922 0.00371610831 0.2466604972 0.03336134482 0.01733083463 0.614025368 0.08490584740000001 
7768646.slha -653.832154 -638.527695 638.705028 15.304458999999952 0.0 0.0 0.0 0.0 0.0 0.0 
7991381.slha -344.641448 329.80151 330.389228 14.839938000000018 0.368110897 0.1346710052 0.02204945796 0.045495461 0.293923832 0.13574934619999998 
8692983.slha -585.161337 -570.152388 570.336397 15.00894900000003 0.36838217 0.00015219680968 2.9899515599999998e-05 9.566293437399999e-06 0.424091372 0.2073347974 
891305.slha -611.34003 -596.463223 596.693881 14.876806999999985 0.0 0.0 0.0 0.0 0.0 0.0 
